doc,aid,journal,year,authors,title
3208,10.2307/2175186,Population Studies,1980,Peter Congdon,Forecasting Births in Greater London: An Application of the Easterlin Hypothesis
3209,10.2307/2174958,Population Studies,1994,Dominique Meekers,Sexual Initiation and Premarital Childbearing in Sub-Saharan Africa
3210,10.2307/30040477,Population Studies,2005,John Blacker,Fertility in Kenya and Uganda: A Comparative Study of Trends and Determinants
3211,10.2307/2174756,Population Studies,1992,Juris Krumins,Recent Mortality Trends in the Three Baltic Republics
3212,10.2307/1972962,Population and Development Review,1990,Sidney Goldstein,Urbanization in China_ 1982-87: Effects of Migration and Reclassification
3213,10.2307/1972805,Population and Development Review,1981,[Charles Balas],The Quantitative Problem of Population
3214,10.2307/2060342,Demography,1971,Lawrence A. Brown,Intra-Urban Migrant Lifelines: A Spatial View
3215,10.2307/2172372,Population Studies,1948,Alfred Sauvy,Social and Economic Consequences of the Ageing of Western European Populations
3216,10.2307/3004038,Demography,1998,Robert F. Schoeni,Reassessing the Decline in Parent-Child Old-Age Coresidence during the Twentieth Century
3217,10.2307/2061620,Demography,1986,Stephen C. Newman,A Generalization of Life Expectancy Which Incorporates the Age Distribution of the Population and Its Use in the Measurement of the Impact of Mortality Reduction
3218,10.2307/2061379,Demography,1990,Arline T. Geronimus,Black/White Differences in Women's Reproductive-Related Health Status: Evidence From Vital Statistics
3219,10.2307/172370,Population and Development Review,1999,Nan Marie Astone,Family Demography_ Social Theory_ and Investment in Social Capital
3220,10.2307/1972354,Population and Development Review,1991,Didier Blanchet,On Interpreting Observed Relationships Between Population Growth and Economic Growth: A Graphical Exposition
3221,10.2307/4148245,Population Studies,2004,Jihong Liu,Factors Affecting Adoption in China_ 1950-87
3222,10.2307/2061019,Demography,1982,G. Edward Stephan,Statistical and Historical Analyses of Nations which Deviate from the Size- Density Law
3223,10.2307/2171992,Population Studies,1948,G. W. Roberts,Some Observations on the Population of British Guiana
3224,10.2307/2061606,Demography,1989,Peter McDonald,The Impact of Changes in Birth Spacing on Age at Last Birth: A Response to Anderton
3225,10.2307/1515156,Demography,2003,Steven J. Haider,Welfare Work Requirements and Child Well-Being: Evidence from the Effects on Breast-Feeding
3226,10.2307/2807957,Population and Development Review,1984,Sandra L. Huffman,Breastfeeding Performance and Child Survival
3227,10.2307/2938411,Population and Development Review,1993,Naohiro Ogawa,The Resumption of Fertility Decline in Japan: 1973-92
3228,10.2307/25434768,Population and Development Review,2008,Helmut Hofer,Growth Effects of Age-Related Productivity Differentials in an Aging Society: A Simulation Study for Austria
3229,10.2307/2060214,Demography,1968,Joseph Waksberg,The Role of Sampling in Population Censuses: Its Effect on Timeliness and Accuracy
3230,10.2307/1972472,Population and Development Review,1982,Massimo Livi-Bacci,Social and Biological Aging: Contradictions of Development
3231,10.2307/20616477,Demography,2009,Robert Bozick,Job Opportunities_ Economic Resources_ and the Postsecondary Destinations of American Youth
3232,10.2307/2060846,Demography,1973,Bennett Dyke,Estimation of Vital Rates by Means of Monte Carlo Simulation
3233,10.2307/2648044,Demography,2000,Ulla Larsen,Does Female Circumcision Affect Infertility and Fertility? A Study of the Central African Republic_ Cote D'Ivoire_ and Tanzania
3234,10.2307/3088290,Demography,2001,Scott M. Lynch,Reconsidering Mortality Compression and Deceleration: An Alternative Model of Mortality Rates
3235,10.2307/2648046,Demography,2000,Patricia B. Reagan,You Can Go Home Again: Evidence from Longitudinal Data
3236,10.2307/2172464,Population Studies,1955,J. J. Spengler,Marshall on the Population Question. I
3237,10.2307/2061393,Demography,1987,Debra S. Kalmuss,The Use of Infertility Services Among Fertility-Impaired Couples
3238,10.2307/2172744,Population Studies,1971,P. E. H. Hair,Deaths from Violence in Britain: A Tentative Secular Survey
3239,10.2307/2061467,Demography,1991,Robert Schoen,Movement Toward Stability as a Fundamental Principle of Population Dynamics
3240,10.2307/2173450,Population Studies,1973,J. C. Caldwell,The Evolution of Family Planning in Australia
3241,10.2307/172487,Population and Development Review,1999,Alfred Marshall,Alfred Marshall on the Growth of Population
3242,10.2307/2060334,Demography,1971,Joseph J. Spengler,Malthus on Godwin's "Of Population"
3243,10.2307/2175060,Population Studies,1991,Mildred Blaxter,Fifty years on--Inequalities in Health
3244,10.2307/2061569,Demography,1990,R. Jean Haurin,Adolescent Sexual Activity in the Family Context: The Impact of Older Siblings
3245,10.2307/2172528,Population Studies,1958,Griselda Rowntree,The Resort to Divorce in England and Wales_ 1858-1957
3246,10.2307/2061139,Demography,1979,Charles F. Westoff,The End of "Catholic" Fertility
3247,10.2307/4137245,Demography,2006,Brent Berry,Friends for Better or for Worse: Interracial Friendship in the United States as Seen through Wedding Party Photos
3248,10.2307/1971942,Population and Development Review,1977,Jose Lopez Portillo,Address by José López Portillo to the International Union for the Scientific Study of Population
3249,10.2307/2061689,Demography,1995,Larry L. Bumpass,The Changing Character of Stepfamilies: Implications of Cohabitation and Nonmarital Childbearing
3250,10.2307/1971950,Population and Development Review,1991,Robert A. LeVine,Women's Schooling and Child Care in the Demographic Transition: A Mexican Case Study
3251,10.2307/25475972,Demography,2008,Sonalde Desai,Changing Educational Inequalities in India in the Context of Affirmative Action
3252,10.2307/1972121,Population and Development Review,1987,Monica Das Gupta,Selective Discrimination against Female Children in Rural Punjab_ India
3253,10.2307/1973658,Population and Development Review,1992,Bertrand Russell,Bertrand Russell on Essentials for a Stable World
3254,10.2307/1973777,Population and Development Review,1992,,Warning to Humanity--A Declaration by Scientists on Global Issues
3255,10.2307/2173040,Population Studies,1970,Sidney Goldstein,Religious Fertility Differentials in Thailand_ 1960
3256,10.2307/2137488,Population and Development Review,1997,,US Funding for International Population Programs
3257,10.2307/2807958,Population and Development Review,1984,Stanley O. Foster,Immunizable and Respiratory Diseases and Child Mortality
3258,10.2307/172519,Population and Development Review,2000,D. Gale Johnson,Agricultural Adjustment in China: Problems and Prospects
3259,10.2307/2648134,Demography,1999,S. Philip Morgan,Reexamining the Link of Early Childbearing to Marriage and to Subsequent Fertility
3260,10.2307/3180826,Demography,2002,Maria Krysan,Whites Who Say They'd Flee: Who Are They_ and Why Would They Leave?
3261,10.2307/2061835,Demography,1993,Ann P. Riley,A New Look at the Determinants of Nonnumeric Response to Desired Family Size: The Case of Costa Rica
3262,10.2307/2061236,Demography,1983,Samuel H. Preston,An Integrated System for Demographic Estimation from Two Age Distributions
3263,10.2307/3004056,Demography,1998,Heather Koball,Have African American Men become Less Committed to Marriage? Explaining the Twentieth Century Racial Cross-Over in Men's Marriage Timing
3264,10.2307/2137539,Population and Development Review,1994,,USAID's Strategy for Stabilizing World Population Growth and Protecting Human Health
3265,10.2307/2172943,Population Studies,1964,John Peel,Contraception and the Medical Profession
3266,10.2307/1972981,Population and Development Review,1990,[United Nations Children's Fund],World Summit for Children
3267,10.2307/2060198,Demography,1968,D. Y. Yuan,Marital Characteristics in Relation to the Rural-Urban Continuum in Taiwan
3268,10.2307/4137224,Demography,2007,Steven A. Haas,The Long-Term Effects of Poor Childhood Health: An Assessment and Application of Retrospective Reports
3269,10.2307/2061293,Demography,1988,J. H. Pollard,On the Decomposition of Changes in Expectation of Life and Differentials in Life Expectancy
3270,10.2307/2060673,Demography,1972,Michael J. Greenwood,The Determinants of Migration Between Standard Metropolitan Statistical Areas
3271,10.2307/2175261,Population Studies,1995,David Reher,Wasted Investments: Some Economic Implications of Childhood Mortality Patterns
3272,10.2307/2172243,Population Studies,1950,Stefan Szulc,The Sample Census of Population in Poland_ 1949
3273,10.2307/2061426,Demography,1991,Andrew Foster,Are Cohort Mortality Rates Autocorrelated?
3274,10.2307/20058946,Population and Development Review,2006,Eduard B. Vermeer,Demographic Dimensions of China's Development
3275,10.2307/1972794,Population and Development Review,1981,[Indira Gandhi],Population Policy in India: Two Comments
3276,10.2307/2174788,Population Studies,1991,Leon Tabah,Alfred Sauvy: Statistician_ Economist_ Demographer and Iconoclast (1898-1990)
3277,10.2307/40983111,Demography,2010,ROBERT F. SCHOENI,KEY THEMES IN RESEARCH ON THE DEMOGRAPHY OF AGING
3278,10.2307/1972079,Population and Development Review,1979,Mead Cain,Class_ Patriarchy_ and Women's Work in Bangladesh
3279,10.2307/2061282,Demography,1991,Lloyd B. Potter,Socioeconomic Determinants of White and Black Males' Life Expectancy Differentials_ 1980
3280,10.2307/2174163,Population Studies,1982,F. J. Willekens,Multi-state Analysis of Marital Status Life Tables: Theory and Application
3281,10.2307/25434737,Population and Development Review,2008,Andreu Domingo,Demodystopias: Prospects of Demographic Hell
3282,10.2307/1971852,Population and Development Review,1979,,Introduction of Economic Incentives toward the One-Child Family in Sichuan
3283,10.2307/2061267,Demography,1989,Juha M. Alho,Relating Changes in Life Expectancy to Changes in Mortality
3284,10.2307/1972980,Population and Development Review,1990,The South Commission,The South Commission Report on Population and Population Policy
3285,10.2307/2584748,Population Studies,1998,Michael Anderson,Highly Restricted Fertility: Very Small Families in the British Fertility Decline
3286,10.2307/172318,Population and Development Review,2000,Evert van Imhoff,On the Quantum and Tempo of Fertility: Comment
3287,10.2307/1973044,Population and Development Review,1987,Mikhail Gorbachev,Mikhail Gorbachev on Women and the Family
3288,10.2307/2172321,Population Studies,1956,F. van Heek,Roman-Catholicism and Fertility in the Netherlands: Demographic Aspects of Minority Status
3289,10.2307/2173888,Population Studies,1979,J. C. Caldwell,Education as a Factor in Mortality Decline An Examination of Nigerian Data
3290,10.2307/25699037,Population and Development Review,2010,Monica J. Grant,Gender Gaps in Educational Attainment in Less Developed Countries
3291,10.2307/25475975,Demography,2008,Jane G. Fortson,The Gradient in Sub-Saharan Africa: Socioeconomic Status and HIV/AIDS
3292,10.2307/2061249,Demography,1983,Andrew Cherlin,A Note on Maritally-Disrupted Men's Reports of Child Support in the June 1980 Current Population Survey
3293,10.2307/1972836,Population and Development Review,1990,[Leonard Simonde de Sismondi],Sismondi on Population
3294,10.2307/1973760,Population and Development Review,1992,Sonalde Desai,Children at Risk: The Role of Family Structure in Latin America and West Africa
3295,10.2307/2060551,Demography,1972,James A. Sweet,The Living Arrangements of Separated_ Widowed_ and Divorced Mothers
3296,10.2307/2938468,Population and Development Review,1993,,Julian Huxley on Population and Human Destiny
3297,10.2307/2060396,Demography,1969,Avery M. Guest,The Applicability of the Burgess Zonal Hypothesis to Urban Canada
3298,10.2307/3088329,Demography,2002,Ted Mouw,Are Black Workers Missing the Connection? The Effect of Spatial Distance and Employee Referrals on Interfirm Racial Segregation
3299,10.2307/2061140,Demography,1979,William H. Frey,The Changing Impact of White Migration on the Population Compositions of Origin and Destination Metropolitan Areas
3300,10.2307/1972199,Population and Development Review,1988,Jichuan Wang,Determinants of Fertility Increase in Sichuan_ 1981-86
3301,10.2307/2175032,Population Studies,1996,David Shapiro,Fertility Decline in Kinshasa
3302,10.2307/2173765,Population Studies,1973,Alvin T. Onaka,Reproductive Time Lost Due to Sexual Union Dissolution in San Jose_ Costa Rica
3303,10.2307/2061494,Demography,1989,Donald J. Hernandez,Measuring Components of Family Planning Program Effort:Comment
3304,10.2307/2137489,Population and Development Review,1997,,The Rockefeller Foundation on the US Role in International Population Programs
3305,10.2307/2060526,Demography,1978,Robert J. Myers,An Investigation of the Age of an Alleged Centenarian
3306,10.2307/2060863,Demography,1972,T. Paul Schultz,Retrospective Evidence of a Decline of Fertility and Child Mortality in Bangladesh
